reported_date,testing_start_date,testing_end_date,board_IDs,school_boards,school_ID,testing_sites
2021-05-07,2021-05-14,,B67318,Conseil scolaire catholique MonAvenir,740390,ÉSC Nouvelle-Alliance
2021-05-07,2021-05-12,,B29122,Conseil scolaire du district catholique du Nouvel-Ontario,S00001,Municipality of St-Charles Community Center 
2021-05-07,2021-05-13,,B29122,Conseil scolaire du district catholique du Nouvel-Ontario,S00002,Municipality of Markstay-Warren Arena
2021-05-07,2021-05-14,,B29122,Conseil scolaire du district catholique du Nouvel-Ontario,S00003,Municipality of French River Arena
2021-05-07,2021-05-10,,B28118,Conseil scolaire public du Grand Nord de l'Ontario,890817,École secondaire l'Orée des Bois
2021-05-07,2021-05-08,,B66303,Conseil scolaire Viamonde,910554,École secondaire Gabriel-Dumont
2021-05-07,2021-05-12,,B66150,District School Board of Niagara,906972,Eastdale Secondary School
2021-05-07,2021-05-08,,B67083,Dufferin-Peel Catholic District School Board,683246,St.  Aidan Catholic Elementary School
2021-05-07,2021-05-08,,B67083,Dufferin-Peel Catholic District School Board,798118,Loyola Catholic Secondary School
2021-05-07,2021-05-09,,B67083,Dufferin-Peel Catholic District School Board,775606,St Augustine Secondary School
2021-05-07,2021-05-08,,B67113,Halton Catholic District School Board,704300,Holy Trinity Catholic Secondary School
2021-05-07,2021-05-11,,B67113,Halton Catholic District School Board,697125,Christ the King Catholic Secondary School
2021-05-07,2021-05-12,,B67113,Halton Catholic District School Board,798010,St. Ignatius of Loyola Catholic Secondary School
2021-05-07,2021-05-08,,B66133,Halton District School Board,913715,Abbey Park High School
2021-05-07,2021-05-13,,B66133,Halton District School Board,913715,Abbey Park High School
2021-05-07,2021-05-08,,B67121,Hamilton-Wentworth Catholic District School Board,855685,St. Thomas More Catholic Secondary School
2021-05-07,2021-05-14,,B67121,Hamilton-Wentworth Catholic District School Board,695343,Cathedral High School
2021-05-07,2021-05-10,,B66141,Hamilton-Wentworth District School Board,913081,Glendale Secondary School
2021-05-07,2021-05-08,,B67016,Huron Perth Catholic District School Board,832545,St Michael Catholic Secondary School
2021-05-07,2021-05-08,,B29025,Huron-Superior Catholic District School Board,825999,St Mary Catholic School
2021-05-07,2021-05-11,,B29025,Huron-Superior Catholic District School Board,755923,Sacred Heart Catholic School
2021-05-07,2021-05-08,,B66079,Kawartha Pine Ridge District School Board,919195,Kenner Collegiate and Vocational Institute
2021-05-07,2021-05-08,,B28045,Keewatin-Patricia District School Board,566489,Upsala Public School
2021-05-07,2021-05-08,2021-05-11,B66206,Limestone District School Board,909181,Ernestown Secondary School
